FULL NAME,TEAM,POS,Ortg,DRtg
Luke Kornet,Chi,C,111.5,106.1
Kyle Korver,Mil,G,109.5,98.4
Rodions Kurucs,Bro,F,99.1,97.4
Kyle Kuzma,Lal,F,100.1,103.2
Skal Labissiere,Por,F,119.7,100.5
Jeremy Lamb,Ind,G,107.8,103.1
Romeo Langford,Bos,G,101.4,103.3
Zach LaVine,Chi,G,106.6,108.5
Vic Law,Orl,F,0,0
Jake Layman,Min,F,97.8,108.5
TJ Leaf,Ind,F,103.2,99.2
Jalen Lecque,Pho,G,93.8,112.3
Courtney Lee,Dal,G,114.5,102.6
Damion Lee,Gol,G,107,107.9
Alex Len,Atl,C,114.1,103.7
Alex Len,Sac,C,113.8,97.1
Kawhi Leonard,Lac,F,115.3,101.4
Meyers Leonard,Mia,C,116.7,100.6
Caris LeVert,Bro,G,99.2,105.7
Damian Lillard,Por,G,125.1,114.7
Nassir Little,Por,F,108.3,105
Kevon Looney,Gol,F,92.6,102.2
Brook Lopez,Mil,C,105.8,96.1
Robin Lopez,Mil,C,104.6,98
Kevin Love,Cle,F,112.3,110.4
Kyle Lowry,Tor,G,116.3,101.1
Timothe Luwawu-Cabarrot,Bro,G,106.8,101
Trey Lyles,San,F,111.2,106.8
Daryl Macon,Mia,G,0,0
J.P. Macura,Cle,G,0,0
Josh Magette,Orl,G,71,98.4
Ian Mahinmi,Was,C,109.8,103.6
Thon Maker,Det,F,111.7,101.6
Terance Mann,Lac,G,100.8,97.9
Boban Marjanovic,Dal,C,113.8,94.3
Lauri Markkanen,Chi,F,107.7,107.4
Caleb Martin,Cha,F,96.5,106.2
Cody Martin,Cha,F,103.5,105.5
Jeremiah Martin,Bro,G,68.6,110
Kelan Martin,Min,F,100.2,105.8
Frank Mason,Mil,G,78.9,92.2
Garrison Mathews,Was,G,138.5,108.9
Wesley Matthews,Mil,G,110.1,101
Patrick McCaw,Tor,G,107,104.5
CJ McCollum,Por,G,110.1,112.6
T.J. McConnell,Ind,G,112.3,106.7
Jalen McDaniels,Cha,F,113.3,100.3
Doug McDermott,Ind,F,117.5,105.6
JaVale McGee,Lal,C,125.3,92.9
Rodney McGruder,Lac,G,98.7,101.6
Alfonzo McKinnie,Cle,F,96.1,105
Jordan McLaughlin,Min,G,120.7,111.5
Ben McLemore,Hou,G,118.1,106.2
Jordan McRae,Was,G,106.1,110.4
Jordan McRae,Den,G,143.3,105.6
Jordan McRae,Det,G,106.2,102.6
Nicolo Melli,Nor,F,113,103.6
De'Anthony Melton,Mem,G,105.5,102.6
Chimezie Metu,San,F,117.4,109.9
Khris Middleton,Mil,F,120.1,96.4
Eric Mika,Sac,C,170.9,84.6
CJ Miles,Was,G,103,111.5
Malcolm Miller,Tor,G,91.2,100.7
Paul Millsap,Den,F,118.1,99.9
Patty Mills,San,G,114.1,111.6
Shake Milton,Phi,G,117.2,101
Donovan Mitchell,Uta,G,110.1,105.2
Naz Mitrou-Long,Ind,G,93.9,110.5
