FULL NAME,TEAM,POS,PPG,RPG
Malik Newman,Cle,G,2,0
Georges Niang,Uta,F,5.7,1.9
Nerlens Noel,Okc,C,7.8,4.9
Zach Norvell Jr.,Lal,G,0,0.5
Zach Norvell Jr.,Gol,G,3.3,1.7
Jaylen Nowell,Min,G,3.8,0.9
Frank Ntilikina,Nyk,G,5.9,2.1
Kendrick Nunn,Mia,G,15.7,2.7
David Nwaba,Bro,G,5.2,2.3
Semi Ojeleye,Bos,F,3.1,1.9
Jahlil Okafor,Nor,C,7.6,4.3
Elie Okobo,Pho,F,4.1,1.7
Josh Okogie,Min,G,8.7,4.3
KZ Okpala,Mia,F,1.4,1
Victor Oladipo,Ind,G,12,2.7
Kelly Olynyk,Mia,C,8,4.5
Royce O'Neale,Uta,F,6.2,5.2
Miye Oni,Uta,G,0,0.4
Kyle O'Quinn,Phi,C,3.5,3.8
Cedi Osman,Cle,F,10.8,3.5
Kelly Oubre Jr.,Pho,F,18.7,6.5
Tariq Owens,Pho,F,1.3,1
Jeremy Pargo,Gol,G,8.3,1
Jabari Parker,Atl,F,15,6
Jabari Parker,Sac,F,4,4
Chandler Parsons,Atl,F,2.8,1.4
Eric Paschall,Gol,F,13.8,4.7
Anzejs Pasecniks,Was,C,6.5,4.5
Patrick Patterson,Lac,F,4.6,2.4
Justin Patton,Okc,C,1.8,1
Chris Paul,Okc,G,17.5,5
Gary Payton II,Was,G,4.2,2.9
Elfrid Payton,Nyk,G,9.8,4.6
Norvel Pelle,Phi,F,2.1,3
Theo Pinson,Bro,G,3.9,1.6
Mason Plumlee,Den,F,7.4,5.4
Jakob Poeltl,San,C,5.3,5.3
Vincent Poirier,Bos,C,1.9,1.6
Shamorie Ponds,Tor,G,2.3,0.3
Jordan Poole,Gol,G,8.6,2.1
Kevin Porter Jr.,Cle,G,10,3.2
Michael Porter Jr.,Den,F,7.8,4.3
Otto Porter Jr.,Chi,F,11,3.3
Bobby Portis,Nyk,F,10,5.1
Kristaps Porzingis,Dal,F,19.5,9.4
Dwight Powell,Dal,F,9.4,5.7
Norman Powell,Tor,G,16.4,3.8
Taurean Prince,Bro,F,12.2,5.9
Chasson Randle,Gol,G,0,1
Julius Randle,Nyk,C,19.4,9.8
Josh Reaves,Dal,G,0,0
Cam Reddish,Atl,F,10,3.7
JJ Redick,Nor,G,14.9,2.6
Naz Reid,Min,C,8.6,4.1
Josh Richardson,Phi,G,13.9,3.4
Austin Rivers,Hou,G,8.5,2.4
Glenn Robinson III,Gol,F,12.9,4.7
Glenn Robinson III,Phi,F,7.2,2.5
Duncan Robinson,Mia,F,13,3.2
Jerome Robinson,Lac,G,2.9,1.4
Jerome Robinson,Was,G,5.9,3.5
Justin Robinson,Was,G,1.4,0.6
Mitchell Robinson,Nyk,C,9.5,7.1
Isaiah Roby,Okc,F,0,0.7
Rajon Rondo,Lal,G,7.3,3
Derrick Rose,Det,G,18.1,2.4
Terrence Ross,Orl,G,14.6,3.2
Terry Rozier,Cha,G,17.5,4.4
Ricky Rubio,Pho,G,12.7,4.5
D'Angelo Russell,Gol,G,23.6,3.7
D'Angelo Russell,Min,G,23.1,4.2
Domantas Sabonis,Ind,F,18.2,12.4
JaKarr Sampson,Ind,F,3.9,2.1
Dario Saric,Pho,F,9.6,5.8
Tomas Satoransky,Chi,G,10.1,3.8
Admiral Schofield,Was,G,3.2,1.3
Dennis Schroder,Okc,G,19,3.7
Mike Scott,Phi,F,5.7,3.5
Thabo Sefolosha,Hou,F,2.3,2.3
Collin Sexton,Cle,G,20.5,3.1
Landry Shamet,Lac,G,9.9,2
Marial Shayok,Phi,G,1.5,1.5
Iman Shumpert,Bro,G,4.2,2.6
Pascal Siakam,Tor,F,23.6,7.5
Chris Silva,Mia,F,3,2.7
Ben Simmons,Phi,F,16.7,7.9
Anfernee Simons,Por,G,9,2.3
Alen Smailagic,Gol,F,4.2,1.9
Marcus Smart,Bos,G,13,3.7
Dennis Smith Jr.,Nyk,G,5.5,2.3
Ish Smith,Was,G,10.5,3.1
Zhaire Smith,Phi,G,1.1,0.3
Tony Snell,Det,G,8.1,1.9
Omari Spellman,Gol,F,7.6,4.4
Max Strus,Chi,G,2.5,0.5
Edmond Sumner,Ind,G,4.2,1.3
Caleb Swanigan,Sac,F,0.7,1
Caleb Swanigan,Por,F,3.5,5
Jayson Tatum,Bos,F,23.6,7.1
Jeff Teague,Min,G,13.2,2.6
Jeff Teague,Atl,G,7.2,2.2
Garrett Temple,Bro,G,10.3,3.5
Daniel Theis,Bos,F,9,6.5
Isaiah Thomas,Was,G,12.2,1.7
Khyri Thomas,Det,G,1.2,0
Matt Thomas,Tor,G,4.5,1.4
Tristan Thompson,Cle,C,12.2,10.2
Matisse Thybulle,Phi,G,4.6,1.5
Anthony Tolliver,Por,F,3.9,3.3
Anthony Tolliver,Sac,F,1,1.2
Anthony Tolliver,Mem,F,7,2.5
Juan Toscano-Anderson,Gol,F,5.7,4.2
Karl-Anthony Towns,Min,C,26.5,10.8
Gary Trent Jr.,Por,G,7.7,1.7
